price	time
2.22849	2284.37286
2.80051	2268.98746
2.85	222.76774
4.89689	106.5025
7.67034	71.84523
12.30359	35.54879
19.76679	1.88281
22.08134	1.78169
25.32279	1.60657
32.79846	0.99061
37.18511	0.73395
44.77856	0.71815
50.06184	0.28405
55.54768	0.18881
62.716	0.17639
64.54605	0.17449
71.32214	0.11472
74.56913	0.11267
80.96254	0.1071
83.25105	0.10621
